# Argument List:
# Name = 8481_5fold_gene_score.txt
# peak file = ./fold/8481_tmp
# decay = 10000 bp
# genome = /project/dev/rongbin/xy/rp/hg38_refGene.bed
#chrom	txStart	txEnd	refseq	score	strand	symbol
chr19	18391136	18397641	XM_005259739.4	6.187	-	LRRC25
chr19	18391136	18397621	NM_145256.3	6.184	-	LRRC25
chr14	73715121	73760297	NM_194278.3	5.814	-	ELMSAN1
chr14	73715121	73760302	NM_001367710.1	5.814	-	ELMSAN1
chr19	14381415	14408722	XM_011528451.3	5.787	+	ADGRE5
chr19	14381443	14408722	NM_078481.4	5.786	+	ADGRE5
chr19	14381143	14408724	NM_001025160.2	5.773	+	ADGRE5
chr19	14381143	14408724	NM_001784.5	5.773	+	ADGRE5
chr1	9035105	9072258	NM_001328619.2	5.553	-	SLC2A5
chr7	74289406	74405934	NM_003388.5	5.528	+	CLIP2
chr7	74289406	74405934	NM_032421.3	5.528	+	CLIP2
chr1	9040079	9069634	NM_001135585.2	5.422	-	SLC2A5
chr1	9035105	9069634	NM_001328620.2	5.422	-	SLC2A5
chr1	9035105	9069634	NM_001328621.2	5.422	-	SLC2A5
chr1	9035105	9069634	NM_003039.3	5.422	-	SLC2A5
chr21	44885948	44920937	XM_006724001.2	5.363	-	ITGB2
chr21	44885952	44920898	NM_000211.5	5.361	-	ITGB2
chr21	44885952	44920898	NM_001303238.2	5.361	-	ITGB2
chr19	827836	832017	NM_001700.5	5.344	+	AZU1
chr19	810965	824243	XM_011528317.3	5.331	-	PLPPR3
chr22	42869765	42960335	NM_001349970.1	5.225	-	PACSIN2
chr22	42869765	42959898	NM_001349968.1	5.196	-	PACSIN2
chr22	42869765	42959880	NM_001184971.1	5.194	-	PACSIN2
chr22	42869765	42959880	NM_001349972.1	5.194	-	PACSIN2
chr22	42869765	42959855	NM_001349973.1	5.189	-	PACSIN2
chr1	205256200	205273342	NM_001297613.1	5.189	+	TMCC2
chr9	124286412	124352441	XM_006716936.2	5.166	+	NEK6
chr9	124286414	124352441	XM_017014217.1	5.165	+	NEK6
chr22	46613974	46679786	XM_006724170.4	5.149	+	GRAMD4
chr1	205257196	205273342	NM_001331034.1	5.120	+	TMCC2
chr12	564295	610415	NM_001294345.2	5.103	-	NINJ2
chr19	932814	975933	XM_017026446.1	5.075	+	ARID3A
chr12	111434861	111451622	NM_001291424.1	5.045	+	SH2B3
chr4	1200378	1201261	XM_005272308.3	5.038	-	LOC101928548
chr5	177305498	177311897	NM_001142935.2	5.028	-	MXD3
chr5	177307209	177311897	NM_031300.4	5.028	-	MXD3
chr15	67098581	67195194	XM_011521560.1	5.023	+	SMAD3
chr9	136494432	136546047	NM_017617.5	4.993	-	NOTCH1
chr9	136494776	136544056	XM_011518717.2	4.940	-	NOTCH1
chr17	75827224	75844716	NM_199242.2	4.931	-	UNC13D
chr12	111433930	111451622	XM_011537721.3	4.910	+	SH2B3
chr19	18418718	18434561	XM_017026431.1	4.861	+	SSBP4
chr19	18418722	18434561	XM_017026434.2	4.860	+	SSBP4
chr19	18418729	18434561	XM_006722665.4	4.859	+	SSBP4
chr13	51767992	51804161	NM_001270424.1	4.858	-	DHRS12
chr13	51767992	51804161	NM_024705.2	4.858	-	DHRS12
chr13	51770776	51804162	NM_001031719.3	4.858	-	DHRS12
chr19	18418736	18434561	XM_005259790.3	4.857	+	SSBP4
chr19	18418741	18434559	XM_017026437.1	4.856	+	SSBP4
chr19	812487	821951	NM_001270366.1	4.855	-	PLPPR3
chr19	812487	821951	NM_024888.2	4.855	-	PLPPR3
chr20	5114952	5126621	NM_002592.2	4.846	-	PCNA
chr19	18386157	18389175	NM_004864.4	4.845	+	GDF15
chr15	67125715	67195194	NM_001145102.1	4.836	+	SMAD3
chr9	120902392	120926795	NM_005658.5	4.835	-	TRAF1
chr20	5126843	5197886	XM_006723660.2	4.832	+	CDS2
chr10	102776220	102816261	NM_017787.5	4.829	+	WBP1L
chr20	5114952	5119957	NM_182649.2	4.810	-	PCNA
chr21	44885952	44928814	NM_001127491.3	4.806	-	ITGB2
chr22	17734139	17774041	NM_001244572.1	4.805	-	BID
chr22	17734139	17774041	NM_197966.2	4.805	-	BID
